DATE,MSPUS
2016-01-01,299800
2016-04-01,306000
2016-07-01,303800
2016-10-01,310900
2017-01-01,313100
2017-04-01,318200
2017-07-01,320500.0
2017-10-01,337900.0
2018-01-01,331800.0
2018-04-01,315600.0
2018-07-01,330900.0
2018-10-01,322800.0
2019-01-01,313000.0
2019-04-01,322500.0
2019-07-01,318400.0
2019-10-01,327100.0
2020-01-01,329000.0
2020-04-01,322600.0
2020-07-01,337500.0
2020-10-01,358700.0
2021-01-01,369800.0
2021-04-01,382600.0
2021-07-01,411200.0
2021-10-01,423600.0
2022-01-01,433100.0
2022-04-01,440300.0
