DATE,GASREGW
2016-01-04,2.028
2016-01-11,1.996
2016-01-18,1.914
2016-01-25,1.856
2016-02-01,1.822
2016-02-08,1.759
2016-02-15,1.724
2016-02-22,1.730
2016-02-29,1.783
2016-03-07,1.841
2016-03-14,1.961
2016-03-21,2.007
2016-03-28,2.066
2016-04-04,2.083
2016-04-11,2.069
2016-04-18,2.137
2016-04-25,2.162
2016-05-02,2.240
2016-05-09,2.220
2016-05-16,2.242
2016-05-23,2.300
2016-05-30,2.339
2016-06-06,2.381
2016-06-13,2.399
2016-06-20,2.353
2016-06-27,2.329
2016-07-04,2.291
2016-07-11,2.253
2016-07-18,2.230
2016-07-25,2.182
2016-08-01,2.159
2016-08-08,2.150
2016-08-15,2.149
2016-08-22,2.193
2016-08-29,2.237
2016-09-05,2.223
2016-09-12,2.202
2016-09-19,2.225
2016-09-26,2.224
2016-10-03,2.245
2016-10-10,2.272
2016-10-17,2.257
2016-10-24,2.243
2016-10-31,2.230
2016-11-07,2.233
2016-11-14,2.184
2016-11-21,2.155
2016-11-28,2.154
2016-12-05,2.208
2016-12-12,2.236
2016-12-19,2.264
2016-12-26,2.309
2017-01-02,2.377
2017-01-09,2.388
2017-01-16,2.358
2017-01-23,2.326
2017-01-30,2.296
2017-02-06,2.293
2017-02-13,2.307
2017-02-20,2.302
2017-02-27,2.314
2017-03-06,2.341
2017-03-13,2.323
2017-03-20,2.321
2017-03-27,2.315
2017-04-03,2.360
2017-04-10,2.424
2017-04-17,2.436
2017-04-24,2.449
2017-05-01,2.411
2017-05-08,2.372
2017-05-15,2.369
2017-05-22,2.399
2017-05-29,2.406
2017-06-05,2.414
2017-06-12,2.366
2017-06-19,2.318
2017-06-26,2.288
2017-07-03,2.260
2017-07-10,2.297
2017-07-17,2.278
2017-07-24,2.312
2017-07-31,2.352
2017-08-07,2.378
2017-08-14,2.384
2017-08-21,2.360
2017-08-28,2.399
2017-09-04,2.679
2017-09-11,2.685
2017-09-18,2.634
2017-09-25,2.583
2017-10-02,2.565
2017-10-09,2.504
2017-10-16,2.489
2017-10-23,2.479
2017-10-30,2.488
2017-11-06,2.561
2017-11-13,2.592
2017-11-20,2.568
2017-11-27,2.533
2017-12-04,2.5
2017-12-11,2.485
2017-12-18,2.45
2017-12-25,2.472
2018-01-01,2.52
2018-01-08,2.522
2018-01-15,2.557
2018-01-22,2.567
2018-01-29,2.607
2018-02-05,2.637
2018-02-12,2.607
2018-02-19,2.557
2018-02-26,2.548
2018-03-05,2.56
2018-03-12,2.559
2018-03-19,2.598
2018-03-26,2.648
2018-04-02,2.7
2018-04-09,2.694
2018-04-16,2.747
2018-04-23,2.798
2018-04-30,2.846
2018-05-07,2.845
2018-05-14,2.873
2018-05-21,2.923
2018-05-28,2.962
2018-06-04,2.94
2018-06-11,2.911
2018-06-18,2.879
2018-06-25,2.833
2018-07-02,2.844
2018-07-09,2.857
2018-07-16,2.865
2018-07-23,2.831
2018-07-30,2.846
2018-08-06,2.852
2018-08-13,2.843
2018-08-20,2.821
2018-08-27,2.827
2018-09-03,2.824
2018-09-10,2.833
2018-09-17,2.841
2018-09-24,2.844
2018-10-01,2.866
2018-10-08,2.903
2018-10-15,2.879
2018-10-22,2.841
2018-10-29,2.811
2018-11-05,2.753
2018-11-12,2.686
2018-11-19,2.611
2018-11-26,2.539
2018-12-03,2.451
2018-12-10,2.421
2018-12-17,2.369
2018-12-24,2.321
2018-12-31,2.266
2019-01-07,2.237
2019-01-14,2.247
2019-01-21,2.251
2019-01-28,2.256
2019-02-04,2.254
2019-02-11,2.276
2019-02-18,2.317
2019-02-25,2.39
2019-03-04,2.422
2019-03-11,2.471
2019-03-18,2.548
2019-03-25,2.623
2019-04-01,2.691
2019-04-08,2.745
2019-04-15,2.828
2019-04-22,2.841
2019-04-29,2.887
2019-05-06,2.897
2019-05-13,2.866
2019-05-20,2.852
2019-05-27,2.822
2019-06-03,2.807
2019-06-10,2.732
2019-06-17,2.67
2019-06-24,2.654
2019-07-01,2.713
2019-07-08,2.743
2019-07-15,2.779
2019-07-22,2.75
2019-07-29,2.715
2019-08-05,2.688
2019-08-12,2.624
2019-08-19,2.598
2019-08-26,2.574
2019-09-02,2.563
2019-09-09,2.55
2019-09-16,2.552
2019-09-23,2.654
2019-09-30,2.642
2019-10-07,2.645
2019-10-14,2.629
2019-10-21,2.638
2019-10-28,2.596
2019-11-04,2.605
2019-11-11,2.615
2019-11-18,2.592
2019-11-25,2.579
2019-12-02,2.575
2019-12-09,2.561
2019-12-16,2.536
2019-12-23,2.532
2019-12-30,2.571
2020-01-06,2.578
2020-01-13,2.57
2020-01-20,2.537
2020-01-27,2.506
2020-02-03,2.455
2020-02-10,2.419
2020-02-17,2.428
2020-02-24,2.466
2020-03-02,2.423
2020-03-09,2.375
2020-03-16,2.248
2020-03-23,2.12
2020-03-30,2.005
2020-04-06,1.924
2020-04-13,1.853
2020-04-20,1.812
2020-04-27,1.773
2020-05-04,1.789
2020-05-11,1.851
2020-05-18,1.878
2020-05-25,1.96
2020-06-01,1.974
2020-06-08,2.036
2020-06-15,2.098
2020-06-22,2.129
2020-06-29,2.174
2020-07-06,2.177
2020-07-13,2.195
2020-07-20,2.186
2020-07-27,2.175
2020-08-03,2.176
2020-08-10,2.166
2020-08-17,2.166
2020-08-24,2.182
2020-08-31,2.222
2020-09-07,2.211
2020-09-14,2.183
2020-09-21,2.168
2020-09-28,2.169
2020-10-05,2.172
2020-10-12,2.167
2020-10-19,2.15
2020-10-26,2.143
2020-11-02,2.112
2020-11-09,2.096
2020-11-16,2.111
2020-11-23,2.102
2020-11-30,2.12
2020-12-07,2.156
2020-12-14,2.158
2020-12-21,2.224
2020-12-28,2.243
2021-01-04,2.249
2021-01-11,2.317
2021-01-18,2.379
2021-01-25,2.392
2021-02-01,2.409
2021-02-08,2.461
2021-02-15,2.501
2021-02-22,2.633
2021-03-01,2.711
2021-03-08,2.771
2021-03-15,2.853
2021-03-22,2.865
2021-03-29,2.852
2021-04-05,2.857
2021-04-12,2.849
2021-04-19,2.855
2021-04-26,2.872
2021-05-03,2.89
2021-05-10,2.961
2021-05-17,3.028
2021-05-24,3.02
2021-05-31,3.027
2021-06-07,3.035
2021-06-14,3.069
2021-06-21,3.06
2021-06-28,3.091
2021-07-05,3.122
2021-07-12,3.133
2021-07-19,3.153
2021-07-26,3.136
2021-08-02,3.159
2021-08-09,3.172
2021-08-16,3.174
2021-08-23,3.145
2021-08-30,3.139
2021-09-06,3.176
2021-09-13,3.165
2021-09-20,3.184
2021-09-27,3.175
2021-10-04,3.19
2021-10-11,3.267
2021-10-18,3.322
2021-10-25,3.383
2021-11-01,3.39
2021-11-08,3.41
2021-11-15,3.399
2021-11-22,3.395
2021-11-29,3.38
2021-12-06,3.341
2021-12-13,3.315
2021-12-20,3.295
2021-12-27,3.275
2022-01-03,3.281
2022-01-10,3.295
2022-01-17,3.306
2022-01-24,3.323
2022-01-31,3.368
2022-02-07,3.444
2022-02-14,3.487
2022-02-21,3.53
2022-02-28,3.608
2022-03-07,4.102
2022-03-14,4.315
2022-03-21,4.239
2022-03-28,4.231
2022-04-04,4.17
2022-04-11,4.091
2022-04-18,4.066
2022-04-25,4.107
2022-05-02,4.182
2022-05-09,4.328
2022-05-16,4.491
2022-05-23,4.593
2022-05-30,4.624
2022-06-06,4.876
2022-06-13,5.006
2022-06-20,4.962
2022-06-27,4.872
2022-07-04,4.771
2022-07-11,4.646
2022-07-18,4.49
2022-07-25,4.33
2022-08-01,4.192
2022-08-08,4.038
2022-08-15,3.938
2022-08-22,3.88
2022-08-29,3.827
2022-09-05,3.746
2022-09-12,3.69
2022-09-19,3.654
